rq,game,mechanism,model,run,log_file,source_status,primary_cooperation_pct,receiver_cooperation_pct,n_agents,n_rounds,multiplier,final_group_payoff_per_round,final_payoff_per_agent_round,base_payoff_per_agent_round,mechanism_adjustment_per_agent_round,resource_adjusted_surplus_per_agent_round,normalized_net_welfare_pct,normalized_base_welfare_pct
RQ1,TG,none,Llama-3-70B,3,RQ1_old_result/result_trust_game_population/30lun_3ci_012402_llama3-70b/data/game_log3.json,raw_logs,55.02777777777778,37.05281398717153,24.0,30.0,3.0,252.06666666666666,10.502777777777778,10.502777777777778,0.0,5.502777777777778,55.02777777777778,55.02777777777778
RQ1,TG,none,Qwen2.5-7B-Instruct,1,RQ1_old_result/result_trust_game_population/020601_30lun_3ci_Qwen2.5-7B-Instruct/data/game_log1.json,raw_logs,48.083333333333336,39.25925925925925,24.0,30.0,3.0,235.4,9.808333333333334,9.808333333333334,0.0,4.808333333333334,48.083333333333336,48.083333333333336
RQ1,TG,none,Qwen2.5-7B-Instruct,2,RQ1_old_result/result_trust_game_population/020601_30lun_3ci_Qwen2.5-7B-Instruct/data/game_log2.json,raw_logs,44.861111111111114,39.16865079365079,24.0,30.0,3.0,227.66666666666666,9.48611111111111,9.48611111111111,0.0,4.486111111111111,44.861111111111114,44.861111111111114
RQ1,TG,none,Qwen2.5-7B-Instruct,3,RQ1_old_result/result_trust_game_population/020601_30lun_3ci_Qwen2.5-7B-Instruct/data/game_log3.json,raw_logs,45.61111111111111,34.07098765432099,24.0,30.0,3.0,229.46666666666667,9.561111111111112,9.561111111111112,0.0,4.561111111111111,45.611111111111114,45.611111111111114
RQ1,TG,none,GLM-5.1,1,RQ1_result/result/trust_game/082904_glm-5.1_final/data/game_log1.json,raw_logs,31.222222222222225,10.49645390070922,24.0,30.0,3.0,194.93333333333334,8.122222222222222,8.122222222222222,0.0,3.1222222222222222,31.22222222222222,31.22222222222222
RQ1,TG,none,GLM-5.1,2,RQ1_result/result/trust_game/082904_glm-5.1_final/data/game_log2.json,raw_logs,29.27777777777778,9.415204678362574,24.0,30.0,3.0,190.26666666666668,7.927777777777778,7.927777777777778,0.0,2.9277777777777776,29.27777777777778,29.27777777777778
RQ1,TG,none,GLM-5.1,3,RQ1_result/result/trust_game/082904_glm-5.1_final/data/game_log3.json,raw_logs,30.138888888888886,9.632892804698972,24.0,30.0,3.0,192.33333333333334,8.01388888888889,8.01388888888889,0.0,3.013888888888889,30.13888888888889,30.13888888888889
RQ1,TG,none,GPT-5.4,1,RQ1_result/result/trust_game/083001_gpt-5.4/data/game_log1.json,raw_logs,10.36111111111111,0.0,24.0,30.0,3.0,144.86666666666667,6.036111111111111,6.036111111111111,0.0,1.0361111111111112,10.36111111111111,10.36111111111111
RQ1,TG,none,GPT-5.4,2,RQ1_result/result/trust_game/083001_gpt-5.4/data/game_log2.json,raw_logs,10.861111111111112,0.0,24.0,30.0,3.0,146.06666666666666,6.086111111111111,6.086111111111111,0.0,1.086111111111111,10.86111111111111,10.86111111111111
RQ1,TG,none,GPT-5.4,3,RQ1_result/result/trust_game/083001_gpt-5.4/data/game_log3.json,raw_logs,10.583333333333334,0.0,24.0,30.0,3.0,145.4,6.058333333333334,6.058333333333334,0.0,1.0583333333333333,10.583333333333334,10.583333333333334
